,Team,Player,Games,Kicks,Handballs,Disposals,Contested Possessions,Metres Gained,Marks,Tackles,Hitouts,Fantasy,Goals,Behinds,Score,Year
0,Geelong,Aasta O'Connor,6,41,16,57,25,940,17,12,78,307,0,0,0,2020.0
1,North Melbourne,Abbey Green,2,8,2,10,2,173,2,1,1,40,2,0,12,2020.0
2,North Melbourne,Aileen Gilroy,7,50,18,68,24,1335,12,8,0,249,0,0,0,2020.0
3,Adelaide,Ailish Considine,4,18,6,24,3,393,5,1,0,90,2,1,13,2020.0
4,GWS Giants,Aimee Schmidt,7,37,12,49,20,979,18,11,3,248,3,5,23,2020.0
5,Melbourne,Ainslie Kemp,2,8,6,14,9,290,0,3,0,41,0,0,0,2020.0
6,Collingwood,Aishling Sheridan,7,26,43,69,38,476,9,15,0,241,2,4,16,2020.0
7,Western Bulldogs,Aisling McCarthy,6,57,24,81,45,1226,20,24,0,367,2,3,15,2020.0
8,Richmond,Akec Makur Chuot,6,44,13,57,23,1218,8,12,0,223,0,0,0,2020.0
9,Collingwood,Alana Porter,7,21,15,36,21,404,6,12,0,140,0,0,0,2020.0
10,Richmond,Alana Woodward,5,6,12,18,12,121,2,17,0,105,0,0,0,2020.0
11,Gold Coast,Alexia Hamilton,1,2,1,3,2,16,0,1,0,13,0,0,0,2020.0
12,Richmond,Alice Edmonds,6,8,22,30,19,159,4,11,82,185,0,1,1,2020.0
13,GWS Giants,Alicia Eva,5,51,23,74,38,974,10,36,0,356,0,2,2,2020.0
14,Melbourne,Aliesha Newman,7,30,23,53,31,690,5,20,0,230,0,7,7,2020.0
15,St Kilda,Alison Brown,6,29,16,45,16,739,8,7,1,173,0,0,0,2020.0
16,Carlton,Alison Downie,7,20,25,45,26,246,14,10,69,257,1,0,6,2020.0
17,St Kilda,Alison Drennan,5,27,35,62,40,550,5,22,0,240,0,0,0,2020.0
18,Brisbane,Ally Anderson,7,73,55,128,54,1357,30,17,0,480,0,2,2,2020.0
19,GWS Giants,Alyce Parker,7,100,48,148,82,2587,19,20,0,497,0,2,2,2020.0
20,Western Bulldogs,Amelia van Oosterwijck,1,1,0,1,1,0,0,5,0,23,0,0,0,2020.0
21,Geelong,Amy McDonald,6,30,46,76,51,742,8,22,0,293,0,0,0,2020.0
22,Adelaide,Angela Foley,6,65,9,74,18,1779,20,14,0,321,1,0,6,2020.0
23,Western Bulldogs,Angelica Gogos,3,15,9,24,13,333,4,10,0,113,0,0,0,2020.0
24,Fremantle,Angelique Stannett,7,39,20,59,34,786,10,18,0,253,0,0,0,2020.0
25,Geelong,Anna Teague,3,9,14,23,13,230,4,6,0,99,2,0,12,2020.0
26,GWS Giants,Annalyse Lister,7,29,27,56,21,685,11,20,0,231,0,0,0,2020.0
27,Adelaide,Anne Hatchard,6,67,85,152,71,1195,28,34,1,590,1,2,8,2020.0
28,West Coast,Ashlee Atkins,6,40,14,54,27,1033,8,19,0,237,1,1,7,2020.0
29,Collingwood,Ashleigh Brazill,4,29,24,53,29,825,10,6,0,185,0,0,0,2020.0
30,Western Bulldogs,Ashleigh Guest,3,13,10,23,8,289,6,6,0,103,0,0,0,2020.0
31,North Melbourne,Ashleigh Riddell,7,112,37,149,69,2515,23,32,0,599,1,4,10,2020.0
32,Fremantle,Ashley Sharp,7,38,9,47,24,1500,11,12,3,251,7,4,46,2020.0
33,West Coast,Ashton Hill,1,1,0,1,0,29,0,0,0,3,0,0,0,2020.0
34,Western Bulldogs,Bailey Hunt,6,45,18,63,12,1065,16,14,0,260,1,0,6,2020.0
35,West Coast,Beatrice Devlyn,6,21,8,29,10,359,6,9,1,132,0,0,0,2020.0
36,West Coast,Belinda Smith,6,43,23,66,30,960,10,17,0,270,0,0,0,2020.0
37,North Melbourne,Bethany Lynch,2,3,3,6,1,63,2,3,0,27,0,0,0,2020.0
38,Fremantle,Bianca Webb,5,18,9,27,13,376,4,11,0,123,0,0,0,2020.0
39,Western Bulldogs,Bonnie Toogood,4,18,11,29,20,308,9,9,0,158,4,2,26,2020.0
40,Carlton,Breann Moody,7,31,20,51,29,1122,10,11,117,322,0,1,1,2020.0
41,Brisbane,Breanna Koenen,7,60,13,73,33,1254,22,33,1,390,0,0,0,2020.0
42,Melbourne,Brenna Tarrant,3,8,3,11,4,106,2,3,0,49,0,0,0,2020.0
43,Collingwood,Brianna Davey,6,56,67,123,61,873,15,32,1,473,0,0,0,2020.0
44,Western Bulldogs,Britney Gutknecht,2,8,6,14,3,220,3,7,0,73,0,0,0,2020.0
45,GWS Giants,Britt Tully,7,56,24,80,48,1052,7,46,0,438,2,3,15,2020.0
46,Collingwood,Brittany Bonnici,7,95,42,137,51,1801,25,30,0,546,0,1,1,2020.0
47,North Melbourne,Brittany Gibson,7,43,15,58,20,1170,15,15,0,255,2,3,15,2020.0
48,Gold Coast,Brittany Perry,7,53,21,74,32,1021,27,16,1,356,3,2,20,2020.0
49,Western Bulldogs,Brooke Lochland,2,16,7,23,10,387,5,5,0,89,0,0,0,2020.0
50,Carlton,Brooke Vernon,1,6,2,8,1,112,1,0,0,25,0,0,0,2020.0
51,Carlton,Brooke Walker,7,30,15,45,23,928,9,18,0,233,5,6,36,2020.0
52,Adelaide,Caitlin Gould,4,22,13,35,23,443,8,6,32,172,1,0,6,2020.0
53,St Kilda,Caitlin Greiser,6,56,2,58,29,1537,16,8,4,293,10,5,65,2020.0
54,Melbourne,Casey Sherriff,7,35,24,59,20,808,15,24,0,298,2,2,14,2020.0
55,Geelong,Cassie Blakeway,1,1,1,2,1,14,1,1,0,6,0,0,0,2020.0
56,West Coast,Cassie Davidson,3,8,9,17,11,154,3,9,0,76,0,0,0,2020.0
57,St Kilda,Cat Phillips,6,40,31,71,34,1149,16,11,0,264,0,0,0,2020.0
58,Brisbane,Cathy Svarc,7,57,30,87,67,1704,6,38,0,393,3,0,18,2020.0
59,Western Bulldogs,Celine Moody,3,6,0,6,3,81,0,2,40,55,0,0,0,2020.0
60,Melbourne,Chantel Emonson,7,37,17,54,19,1057,11,24,0,278,2,0,12,2020.0
61,West Coast,Chantella Perera,5,22,13,35,22,636,9,15,0,174,0,0,0,2020.0
62,Carlton,Charlotte Wilson,6,42,23,65,25,604,27,10,0,289,0,0,0,2020.0
63,Adelaide,Chelsea Biddell,6,30,5,35,16,821,7,9,0,171,3,0,18,2020.0
64,Gold Coast,Cheyenne Hammond,7,29,14,43,19,854,8,16,0,193,0,2,2,2020.0
65,Carlton,Chloe Dalton,7,40,58,98,46,1405,11,23,0,331,0,0,0,2020.0
66,Collingwood,Chloe Molloy,7,59,34,93,36,1188,32,16,0,423,6,4,40,2020.0
67,Richmond,Christina Bernardi,6,33,13,46,20,811,10,10,0,198,3,6,24,2020.0
68,Richmond,Ciara Fitzgerald,1,2,0,2,1,30,0,2,0,14,0,0,0,2020.0
69,St Kilda,Clara Fitzpatrick,5,31,17,48,26,594,13,11,0,209,0,0,0,2020.0
70,St Kilda,Claudia Whitfort,3,10,8,18,14,247,1,5,0,73,0,1,1,2020.0
71,GWS Giants,Cora Staunton,7,51,12,63,32,1300,14,12,0,320,8,7,55,2020.0
72,St Kilda,Courteney Munn,3,9,6,15,6,144,6,6,6,87,0,0,0,2020.0
73,Adelaide,Courtney Cramey,1,5,0,5,2,136,0,2,0,24,0,0,0,2020.0
74,West Coast,Courtney Guard,6,34,14,48,25,865,8,14,0,192,0,0,0,2020.0
75,Adelaide,Courtney Gum,6,36,27,63,38,628,14,14,0,268,3,0,18,2020.0
76,Richmond,Courtney Wakefield,5,27,5,32,15,479,19,13,0,205,4,1,25,2020.0
77,North Melbourne,Daisy Bateman,7,34,22,56,32,637,15,15,0,291,7,2,44,2020.0
78,Melbourne,Daisy Pearce,7,68,36,104,36,1649,19,20,0,403,0,0,0,2020.0
79,Brisbane,Dakota Davidson,6,27,7,34,20,691,11,13,4,177,2,3,15,2020.0
80,West Coast,Dana Hooker,6,85,33,118,75,2020,16,41,0,530,1,0,6,2020.0
81,North Melbourne,Danielle Hardiman,6,38,16,54,19,683,13,6,0,205,0,0,0,2020.0
82,Geelong,Danielle Higgins,6,44,23,67,39,997,13,22,0,325,4,1,25,2020.0
83,Western Bulldogs,Danielle Marshall,6,24,8,32,22,492,5,13,8,171,3,1,19,2020.0
84,Adelaide,Danielle Ponter,6,32,22,54,31,662,14,7,0,236,5,1,31,2020.0
85,West Coast,Danika Pisconeri,3,10,6,16,12,119,4,7,23,105,0,1,1,2020.0
86,St Kilda,Darcy Guttridge,5,17,10,27,13,366,3,13,0,137,2,1,13,2020.0
87,Carlton,Darcy Vescio,7,50,26,76,47,1174,16,15,1,318,4,3,27,2020.0
88,North Melbourne,Daria Bannister,1,0,2,2,3,10,0,2,0,13,0,0,0,2020.0
89,Adelaide,Dayna Cox,6,39,11,50,17,762,15,12,0,224,0,0,0,2020.0
90,Western Bulldogs,Deanna Berry,5,14,6,20,11,409,3,8,0,101,2,0,12,2020.0
91,Gold Coast,Dee Heslop,7,27,5,32,18,733,4,31,0,222,0,0,0,2020.0
92,Geelong,Denby Taylor,2,10,5,15,4,254,3,1,0,47,0,0,0,2020.0
93,Adelaide,Deni Varnhagen,1,5,1,6,2,152,1,1,0,23,0,0,0,2020.0
94,Fremantle,Ebony Antonio,7,53,32,85,41,1501,23,30,1,427,4,2,26,2020.0
95,Adelaide,Ebony Marinoff,6,94,45,139,63,1874,31,47,0,639,0,0,0,2020.0
96,Collingwood,Ebony O'Dea,4,7,16,23,18,176,0,24,0,150,0,0,0,2020.0
97,Melbourne,Eden Zanker,7,42,30,72,43,1034,13,25,77,416,4,3,27,2020.0
98,Western Bulldogs,Eleanor Brown,5,19,14,33,14,419,7,13,0,147,0,0,0,2020.0
99,Western Bulldogs,Elisabeth Georgostathis,6,35,12,47,29,752,5,21,0,214,1,1,7,2020.0
100,Melbourne,Elise O'Dea,7,66,34,100,53,1633,13,27,0,393,0,1,1,2020.0
101,North Melbourne,Elisha King,4,13,12,25,9,255,8,13,0,149,2,0,12,2020.0
102,Collingwood,Eliza Hynes,3,7,9,16,12,114,2,6,45,114,0,0,0,2020.0
103,Richmond,Ella Wood,3,8,6,14,4,189,2,7,0,66,0,1,1,2020.0
104,GWS Giants,Elle Bennetts,7,49,38,87,35,1211,21,13,0,327,0,0,0,2020.0
105,Western Bulldogs,Ellie Blackburn,6,72,32,104,55,1943,13,25,0,434,2,2,14,2020.0
